# Anchor Positions (JSON format)
"{""TWR0"": [0.0, 0.0, 0.0], ""TWR1"": [15.4, 0.0, 0.0], ""TWR2"": [4.09, 6.82, 0.0]}"

timestamp,TWR0_distance,TWR0_nlos,TWR0_horizontal_angle,TWR0_elevation_angle,TWR1_distance,TWR1_nlos,TWR1_horizontal_angle,TWR1_elevation_angle,TWR2_distance,TWR2_nlos,TWR2_horizontal_angle,TWR2_elevation_angle,estimated_x,estimated_y,estimated_z
1760579895.4728613,0.45,LOS,15.37,38.11,15.18,LOS,-20.11,-59.6,7.78,nLOS,-22.1,-60.0,0.22500324675324684,0.07874438721102917,0.3816711417349457
1760579895.606691,0.48,LOS,14.1,40.48,15.15,nLOS,-24.78,-60.0,7.79,nLOS,-19.11,-59.93,0.2554512987012984,0.051114983623414774,0.4031524431787535
1760579895.7573802,0.45,LOS,13.96,40.72,15.2,nLOS,-22.91,-60.0,7.9,nLOS,-10.0,-54.9,0.20527597402597406,-0.047372248352820584,0.3976400942733093
1760579895.8926854,0.49,LOS,12.12,40.34,15.13,nLOS,-26.75,-60.0,7.8,nLOS,-7.91,-49.72,0.27542857142857013,0.02841600335148789,0.4042667841838422
1760579896.0427496,0.44,LOS,15.1,40.48,15.15,nLOS,-30.21,-60.0,7.73,nLOS,10.4,-60.0,0.25425649350649543,0.11740336386487205,0.3393671841280384
1760579896.1733553,0.43,LOS,14.86,38.12,15.14,nLOS,-33.4,-60.0,7.56,nLOS,22.88,60.0,0.26380844155844296,0.30160168240850066,0.15601772761730473
1760579896.3088028,0.43,LOS,12.11,39.11,15.17,nLOS,-34.47,-60.0,7.77,nLOS,-7.9,60.0,0.2342857142857147,0.08328759949727718,0.350818157813437
1760579896.4385989,0.44,LOS,13.61,40.84,15.19,nLOS,-28.45,-60.0,7.81,nLOS,-5.47,-60.0,0.2148538961038988,0.04988967227786804,0.3807214518896748
1760579896.5700696,0.43,LOS,13.69,40.61,15.1,nLOS,-30.92,-60.0,7.77,nLOS,-13.94,-58.41,0.30308116883117037,0.042030501390105,0.3021179273939697
1760579896.796975,0.46,LOS,14.2,40.59,15.09,nLOS,-49.1,-60.0,7.74,nLOS,5.25,-59.67,0.31375000000000025,0.07170271260997016,0.32866344260408986
1760579896.8857338,0.45,LOS,12.9,39.66,15.12,nLOS,-36.0,-60.0,7.66,nLOS,36.84,-60.0,0.2840292207792231,0.17918188959134576,0.29953506002807434
1760579897.0180361,0.46,LOS,12.11,38.83,15.09,nLOS,-48.0,-60.0,7.68,nLOS,18.39,-60.0,0.31374999999999964,0.13953262463343102,0.3060908103209018
1760579897.148429,0.49,LOS,15.73,40.61,15.13,nLOS,-48.0,-60.0,7.51,nLOS,23.4,-60.0,0.2754285714285716,0.3539218684541273,0.1974295141835577
1760579897.28,0.52,LOS,13.66,40.62,15.1,nLOS,-34.7,-60.0,7.72,nLOS,48.0,-60.0,0.3058571428571438,0.10341558441558465,0.4076231409810388
1760579897.4109027,0.49,LOS,12.98,39.79,15.1,nLOS,-35.11,-60.0,8.0,nLOS,48.0,-60.0,0.3048733766233785,-0.22091379917736328,0.31360694756220436
1760579897.5381038,0.45,LOS,13.12,39.7,15.15,nLOS,-21.11,-60.0,8.03,nLOS,35.71,-60.0,0.2545454545454541,-0.22874500133297715,0.29220255976877485
1760579897.6691422,0.5,LOS,13.99,37.11,15.05,nLOS,-41.11,-60.0,8.03,nLOS,33.98,-4.7,0.35413961038960884,-0.28498988365007305,0.2082448140295788
1760579897.8110757,0.47,LOS,14.79,39.85,15.14,nLOS,-32.97,-60.0,7.68,nLOS,3.33,2.93,0.26497727272727245,0.16946377632631318,0.34924070989969364
1760579897.9511814,0.44,LOS,12.99,39.78,15.12,nLOS,-42.1,-60.0,7.73,nLOS,8.1,-3.83,0.28374025974026196,0.09972175039037004,0.3211651249771828
1760579898.0875368,0.46,LOS,12.52,40.2,15.13,nLOS,-33.12,-60.0,7.89,nLOS,8.38,-1.13,0.27450324675324683,-0.07664490897665299,0.36107274260166283
1760579898.2207508,0.41,LOS,14.12,40.0,15.12,nLOS,-38.24,-60.0,7.96,nLOS,23.56,-7.44,0.2829123376623394,-0.16621868930190042,0.24582912058010686
1760579898.3528705,0.41,LOS,13.11,38.12,15.1,nLOS,-27.64,-60.0,7.7,nLOS,15.12,-3.7,0.3025357142857162,0.1205174382069534,0.24909373470576227
1760579898.484899,0.47,LOS,13.23,40.41,15.14,nLOS,-34.39,-60.0,7.62,nLOS,-4.78,-1.12,0.2649772727272715,0.23676582911223767,0.30761824897559614
