# Anchor Positions (JSON format)
"{""TWR0"": [0.0, 0.0, 0.0], ""TWR1"": [15.4, 0.0, 0.0], ""TWR2"": [4.09, 6.82, 0.0]}"

timestamp,TWR0_distance,TWR0_nlos,TWR0_horizontal_angle,TWR0_elevation_angle,TWR1_distance,TWR1_nlos,TWR1_horizontal_angle,TWR1_elevation_angle,TWR2_distance,TWR2_nlos,TWR2_horizontal_angle,TWR2_elevation_angle,estimated_x,estimated_y,estimated_z
1760579977.5839262,7.97,LOS,-22.51,-58.12,13.1,nLOS,-60.0,-60.0,0.3,nLOS,13.25,31.76,4.190613636363637,6.773620267928551,0.2787935017726674
1760579977.7157025,7.93,LOS,-23.11,-57.2,13.04,nLOS,-60.0,-56.46,0.35,nLOS,13.91,32.95,4.220886363636366,6.706455245267928,0.30409924118103693
1760579977.8442576,7.97,LOS,-22.77,-53.1,13.06,nLOS,-36.0,60.0,0.3,nLOS,15.12,32.14,4.224587662337662,6.753245815401607,0.25967294811952835
1760579977.9750278,7.92,LOS,-20.55,-60.0,13.11,nLOS,-48.0,-60.0,0.34,nLOS,13.15,32.2,4.15630844155845,6.734068691206152,0.3222095602974351
1760579978.1151464,7.93,LOS,-18.11,-60.0,13.08,nLOS,-60.0,-60.0,0.35,nLOS,16.1,32.81,4.18696428571429,6.726798544197738,0.32312755365684553
1760579978.2713475,7.95,LOS,-18.22,-53.1,12.98,nLOS,-48.0,-60.0,0.3,nLOS,14.49,31.82,4.281886363636364,6.695540289256199,0.19413759000250916
1760579978.4050007,7.85,nLOS,-14.14,-41.71,13.06,nLOS,60.0,-16.4,0.32,nLOS,15.45,32.65,4.1629512987013,6.650121581863884,0.26118849719955967
1760579978.576379,7.96,LOS,-19.4,-60.0,13.07,nLOS,-60.0,-50.59,0.31,nLOS,14.39,31.12,4.210931818181818,6.74930921754199,0.27654711827591677
1760579978.7107825,7.95,LOS,-24.51,-55.28,13.17,nLOS,60.0,0.23,0.38,LOS,13.12,31.11,4.120571428571428,6.788293674067868,0.3774388647860572
1760579978.8483672,7.96,LOS,-19.81,-46.49,13.11,nLOS,-60.0,-55.8,0.36,nLOS,14.11,31.63,4.176931818181816,6.767243235137295,0.3453398076515725
1760579978.9770741,7.91,LOS,-11.96,-53.11,13.16,nLOS,-48.0,-60.0,0.3,nLOS,14.27,31.11,4.108522727272728,6.752997367368702,0.2918348090870167
1760579979.1062727,7.97,LOS,-20.25,-47.89,13.15,nLOS,-60.0,-60.0,0.32,LOS,15.38,32.1,4.148,6.798266862170088,0.31394851603418356
1760579979.2369566,7.91,LOS,-22.3,-38.12,13.86,LOS,31.86,-48.45,0.31,nLOS,14.16,31.5,3.6563794441872783,7.031023322316958,-3.021469480246928e-09
1760579979.3643532,7.92,LOS,-13.12,-19.94,13.65,nLOS,51.5,-60.0,0.35,nLOS,11.43,29.53,3.7313484263069117,6.99103248241699,-1.63928749389503e-05
