# Anchor Positions (JSON format)
"{""TWR0"": [0.0, 0.0, 0.0], ""TWR1"": [15.4, 0.0, 0.0], ""TWR2"": [4.09, 6.82, 0.0]}"

timestamp,TWR0_distance,TWR0_nlos,TWR0_horizontal_angle,TWR0_elevation_angle,TWR1_distance,TWR1_nlos,TWR1_horizontal_angle,TWR1_elevation_angle,TWR2_distance,TWR2_nlos,TWR2_horizontal_angle,TWR2_elevation_angle,estimated_x,estimated_y,estimated_z
1760579795.8735604,14.38,nLOS,60.0,-9.35,2.23,LOS,-15.32,60.0,14.07,nLOS,4.71,-60.0,14.4957098181461,-2.2122066541715437,0.0
1760579796.0088718,14.32,nLOS,60.0,-10.4,2.28,LOS,-15.99,60.0,14.04,nLOS,25.49,-60.0,14.432387696632098,-2.2405706573581723,0.0
1760579796.1377876,14.33,nLOS,60.0,-17.99,2.25,LOS,-15.47,60.0,14.1,nLOS,17.11,-60.0,14.47047635400693,-2.2414664898628875,0.0
1760579796.2831206,14.42,nLOS,60.0,-12.47,2.24,LOS,-19.41,-60.0,14.54,nLOS,37.87,-60.0,14.68233112110567,-2.399035433884256,0.0
1760579796.471842,14.4,nLOS,60.0,-10.0,2.21,LOS,-15.59,60.0,14.55,nLOS,10.54,-60.0,14.684921721876654,-2.3800218195305596,0.0
1760579796.5940697,14.36,nLOS,48.0,-60.0,2.24,LOS,-15.86,60.0,14.86,LOS,4.98,-60.0,14.757841515970675,-2.5174937719663655,0.0
1760579796.72421,14.36,nLOS,48.0,-60.0,2.21,LOS,-15.2,60.0,13.72,nLOS,45.29,-60.0,14.36562661440996,-2.047468494900387,0.0
1760579796.902718,14.39,nLOS,48.0,60.0,2.21,LOS,-15.78,60.0,13.7,nLOS,36.76,-60.0,14.375055262629525,-2.038548499950847,0.0
1760579796.9940708,14.36,nLOS,28.37,-4.12,2.23,LOS,-15.48,60.0,13.94,nLOS,35.47,-60.0,14.437679808228914,-2.1587908407066525,0.0
1760579797.1251404,14.4,nLOS,41.67,-4.1,2.28,LOS,-15.18,60.0,14.6,nLOS,0.1,-60.0,14.676848146606694,-2.4540726718260304,0.0
1760579797.2574825,14.4,nLOS,36.11,-4.21,2.27,LOS,-15.51,60.0,15.0,nLOS,5.21,-60.0,14.819004699223377,-2.586427343481794,0.0
1760579797.4031131,14.33,nLOS,23.87,2.26,2.26,LOS,-15.63,60.0,13.76,nLOS,28.43,-60.0,14.34513341021888,-2.104471523915821,0.0
1760579797.5337949,14.38,nLOS,34.37,-12.12,2.24,LOS,-15.76,60.0,13.74,nLOS,22.2,-60.0,14.37311090656814,-2.079922049806394,0.0
1760579797.664065,14.32,nLOS,38.34,-3.35,2.25,LOS,-15.32,60.0,13.75,nLOS,24.93,-60.0,14.339635728806888,-2.092166019672156,0.0
1760579797.7999344,14.39,nLOS,33.69,-7.93,2.22,LOS,-15.61,60.0,13.73,nLOS,20.12,-60.0,14.382334345718355,-2.0597916086999253,0.0
1760579797.9349716,14.41,nLOS,37.17,-1.29,2.26,LOS,-15.26,60.0,13.79,nLOS,25.74,-60.0,14.400831979040387,-2.1175152467622245,0.0
